epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10699.4,0.88171,0.53683,0.99959,0.96381,0.93964,0.96578,0.74664,0.83598,0.40541,0.99889,0.00012892,0.00012892,0.00012892
43,10954,0.88796,0.54807,1.0026,0.96292,0.93846,0.9667,0.74122,0.84246,0.40576,1.00318,0.000126771,0.000126771,0.000126771
44,11208.4,0.88382,0.54548,1.00243,0.964,0.94055,0.96781,0.74965,0.83526,0.40524,0.98986,0.000124623,0.000124623,0.000124623
45,11462.7,0.87872,0.53548,1.00162,0.96896,0.93424,0.96902,0.75637,0.81831,0.39485,0.98067,0.000122475,0.000122475,0.000122475
46,11717.1,0.86885,0.52685,0.99764,0.96132,0.93909,0.96752,0.75918,0.8107,0.39864,0.97527,0.000120326,0.000120326,0.000120326
47,11971.6,0.86737,0.52172,0.99476,0.96837,0.93999,0.96832,0.75653,0.81343,0.38946,0.98003,0.000118178,0.000118178,0.000118178
48,12226.5,0.86568,0.52217,0.99208,0.96772,0.94101,0.96895,0.75976,0.80666,0.38998,0.97457,0.00011603,0.00011603,0.00011603
49,12482.7,0.8605,0.52346,0.99619,0.96711,0.93677,0.96607,0.7479,0.82152,0.4023,0.99429,0.000113882,0.000113882,0.000113882
50,12736.7,0.85844,0.52298,0.99565,0.96823,0.94096,0.96852,0.76054,0.80245,0.39125,0.97904,0.000111733,0.000111733,0.000111733
51,12991.1,0.85405,0.51573,0.99097,0.96106,0.93995,0.96701,0.76335,0.79982,0.39282,0.97209,0.000109585,0.000109585,0.000109585
52,13246.1,0.85161,0.51161,0.98967,0.96625,0.93819,0.96616,0.7603,0.80807,0.39597,0.97579,0.000107437,0.000107437,0.000107437
53,13500.2,0.83962,0.5049,0.98559,0.96374,0.93763,0.96797,0.7565,0.81676,0.39333,0.98028,0.000105288,0.000105288,0.000105288
54,13754.5,0.84268,0.50562,0.98866,0.96414,0.93507,0.96672,0.75659,0.82595,0.39907,0.98605,0.00010314,0.00010314,0.00010314
55,14009.1,0.83447,0.49604,0.9778,0.9671,0.93682,0.96864,0.75535,0.82379,0.39344,0.98616,0.000100992,0.000100992,0.000100992
56,14263.1,0.83014,0.49589,0.97789,0.96531,0.94058,0.96796,0.76002,0.81433,0.38826,0.9801,9.88435e-05,9.88435e-05,9.88435e-05
57,14517.3,0.83265,0.49116,0.97843,0.96752,0.93859,0.96912,0.75356,0.82534,0.39012,0.99031,9.66952e-05,9.66952e-05,9.66952e-05
58,14771.8,0.8228,0.49308,0.97755,0.96402,0.9395,0.969,0.76474,0.7973,0.38303,0.96921,9.45469e-05,9.45469e-05,9.45469e-05
59,15026.2,0.81902,0.49063,0.97318,0.96466,0.9374,0.9666,0.75509,0.8136,0.39263,0.98106,9.23986e-05,9.23986e-05,9.23986e-05
60,15280.8,0.81431,0.4859,0.96999,0.96333,0.94172,0.96718,0.76088,0.80738,0.3879,0.97866,9.02503e-05,9.02503e-05,9.02503e-05
61,15535.8,0.81062,0.47945,0.96807,0.96314,0.94347,0.96868,0.76064,0.80909,0.38298,0.97914,8.8102e-05,8.8102e-05,8.8102e-05
62,15790.1,0.8068,0.47883,0.97195,0.96247,0.94096,0.9682,0.7615,0.80735,0.38624,0.97789,8.59537e-05,8.59537e-05,8.59537e-05
63,16044.7,0.8013,0.47627,0.96575,0.96579,0.93834,0.96642,0.76215,0.80615,0.38929,0.97599,8.38054e-05,8.38054e-05,8.38054e-05
64,16299.1,0.79902,0.47588,0.96541,0.96435,0.94042,0.96687,0.75906,0.80721,0.38768,0.97846,8.16571e-05,8.16571e-05,8.16571e-05
65,16553.5,0.80361,0.47568,0.96472,0.96731,0.93835,0.96777,0.76134,0.80142,0.38474,0.97797,7.95088e-05,7.95088e-05,7.95088e-05
66,16807.9,0.79372,0.46871,0.96513,0.96541,0.93576,0.9655,0.75901,0.80125,0.39031,0.98209,7.73605e-05,7.73605e-05,7.73605e-05
67,17062.4,0.79252,0.46383,0.96419,0.9676,0.93689,0.96739,0.7565,0.81781,0.38899,0.98669,7.52122e-05,7.52122e-05,7.52122e-05
68,17317.4,0.78858,0.46376,0.95951,0.96962,0.93543,0.96563,0.75683,0.81118,0.38887,0.98336,7.30639e-05,7.30639e-05,7.30639e-05
69,17571.8,0.77835,0.45821,0.9565,0.97052,0.93653,0.96623,0.75783,0.80731,0.38393,0.98082,7.09156e-05,7.09156e-05,7.09156e-05
70,17826.3,0.77663,0.4605,0.9579,0.96717,0.93952,0.96736,0.76066,0.80024,0.38037,0.97869,6.87673e-05,6.87673e-05,6.87673e-05
71,18080.6,0.77918,0.45946,0.95606,0.96916,0.9365,0.96584,0.75601,0.80812,0.38141,0.98489,6.6619e-05,6.6619e-05,6.6619e-05
72,18335.2,0.7765,0.45863,0.95797,0.9709,0.93873,0.96818,0.75712,0.81468,0.38116,0.98803,6.44707e-05,6.44707e-05,6.44707e-05
73,18589.3,0.7644,0.45284,0.95219,0.97139,0.93651,0.967,0.75858,0.81116,0.38044,0.98382,6.23224e-05,6.23224e-05,6.23224e-05
74,18844.8,0.76395,0.45142,0.95241,0.97057,0.93588,0.96463,0.75689,0.81228,0.38095,0.98772,6.01741e-05,6.01741e-05,6.01741e-05
75,19099,0.76805,0.44877,0.95355,0.97031,0.93623,0.96652,0.76461,0.80233,0.38084,0.97675,5.80258e-05,5.80258e-05,5.80258e-05
76,19352.9,0.75755,0.44256,0.9474,0.96909,0.93749,0.96618,0.76111,0.80905,0.38334,0.97992,5.58775e-05,5.58775e-05,5.58775e-05
77,19607.1,0.75956,0.44317,0.94869,0.96874,0.93913,0.96734,0.76126,0.80953,0.3801,0.98095,5.37292e-05,5.37292e-05,5.37292e-05
78,19861.1,0.75359,0.4387,0.94715,0.97199,0.93637,0.96733,0.76186,0.81015,0.38093,0.98036,5.15809e-05,5.15809e-05,5.15809e-05
79,20115.6,0.7499,0.43783,0.94097,0.96915,0.93741,0.96667,0.76054,0.81538,0.38279,0.98376,4.94326e-05,4.94326e-05,4.94326e-05
80,20369.5,0.74787,0.44081,0.94545,0.97106,0.93457,0.96597,0.75869,0.81235,0.38095,0.98463,4.72843e-05,4.72843e-05,4.72843e-05
81,20623.6,0.74056,0.43091,0.94165,0.97116,0.93681,0.96656,0.76159,0.80753,0.38052,0.98074,4.5136e-05,4.5136e-05,4.5136e-05
82,20878.1,0.73904,0.43007,0.94167,0.9685,0.93647,0.96611,0.76142,0.80514,0.38053,0.9817,4.29877e-05,4.29877e-05,4.29877e-05
83,21132.4,0.73315,0.42872,0.93857,0.96903,0.93486,0.96574,0.75884,0.80893,0.3836,0.98316,4.08394e-05,4.08394e-05,4.08394e-05
84,21386.4,0.73597,0.42736,0.94004,0.96568,0.93646,0.96574,0.75868,0.81088,0.38152,0.98567,3.86911e-05,3.86911e-05,3.86911e-05
85,21641,0.7313,0.42575,0.93516,0.96681,0.9376,0.96579,0.75639,0.81983,0.38256,0.99177,3.65428e-05,3.65428e-05,3.65428e-05
86,21895.7,0.72874,0.4251,0.93498,0.96666,0.93964,0.96725,0.75892,0.81636,0.38064,0.98866,3.43945e-05,3.43945e-05,3.43945e-05
87,22150.3,0.72863,0.42566,0.93544,0.97013,0.93814,0.96745,0.75903,0.8176,0.38058,0.99093,3.22462e-05,3.22462e-05,3.22462e-05
88,22404.8,0.72309,0.41929,0.9361,0.97082,0.93765,0.96753,0.75767,0.82151,0.38249,0.99394,3.00979e-05,3.00979e-05,3.00979e-05
89,22659.4,0.71983,0.41984,0.93337,0.97023,0.93707,0.96746,0.7601,0.81071,0.37807,0.9873,2.79496e-05,2.79496e-05,2.79496e-05
90,22913.7,0.71958,0.41623,0.93296,0.96697,0.93954,0.96701,0.75691,0.81819,0.38104,0.99288,2.58013e-05,2.58013e-05,2.58013e-05
91,23165.7,0.69155,0.33712,0.93905,0.96737,0.93571,0.96597,0.7584,0.81158,0.38448,0.98743,2.3653e-05,2.3653e-05,2.3653e-05
92,23416.9,0.6761,0.33037,0.93186,0.96458,0.93544,0.96498,0.75796,0.81027,0.38564,0.9868,2.15047e-05,2.15047e-05,2.15047e-05
93,23668.8,0.67335,0.32871,0.92685,0.96223,0.93545,0.9646,0.75952,0.80523,0.38638,0.98378,1.93564e-05,1.93564e-05,1.93564e-05
94,23921.1,0.66949,0.3274,0.92849,0.96574,0.93373,0.96494,0.76116,0.80499,0.3863,0.98289,1.72081e-05,1.72081e-05,1.72081e-05
95,24173.9,0.66789,0.32682,0.92782,0.96874,0.92995,0.96431,0.76113,0.80308,0.38485,0.98462,1.50598e-05,1.50598e-05,1.50598e-05
96,24425.1,0.66317,0.32367,0.92461,0.96346,0.93367,0.96389,0.76005,0.80333,0.38554,0.986,1.29115e-05,1.29115e-05,1.29115e-05
97,24676.4,0.65944,0.32188,0.92109,0.96302,0.93381,0.96394,0.76019,0.80256,0.38538,0.98606,1.07632e-05,1.07632e-05,1.07632e-05
98,24928.2,0.65919,0.31968,0.92117,0.96365,0.93379,0.96416,0.76045,0.80235,0.38551,0.98548,8.6149e-06,8.6149e-06,8.6149e-06
99,25179.5,0.65627,0.31909,0.91941,0.96261,0.9347,0.96448,0.76022,0.80154,0.38469,0.98467,6.4666e-06,6.4666e-06,6.4666e-06
100,25430.7,0.65529,0.32042,0.91964,0.96196,0.93583,0.96448,0.75949,0.80266,0.38385,0.98508,4.3183e-06,4.3183e-06,4.3183e-06
